Player,game_url,player1_score,player2_score,final_score_difference
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=42692,464,467,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=40597,404,401,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=37669,346,344,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=37378,427,427,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=37082,468,468,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=36923,418,418,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=35080,417,418,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=35107,426,428,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=34815,453,456,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=34569,476,478,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=34818,406,408,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=40112,394,391,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=32519,407,409,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=30353,387,389,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=29942,408,408,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=29951,445,448,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=29807,476,473,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=29391,418,420,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=29394,380,380,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=29639,440,437,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=36847,435,437,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27662,418,421,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27677,411,414,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27777,402,403,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27772,437,435,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27339,392,391,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27195,404,406,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=25957,413,416,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=25955,381,383,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=25813,340,338,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=25814,385,382,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=25507,436,437,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=24605,376,377,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=25423,438,441,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=22634,431,430,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=22610,395,398,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=21207,393,394,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=20912,428,431,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=20820,402,401,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=20489,419,420,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=20380,402,401,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=19718,342,339,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=19720,436,437,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=19284,402,402,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=38375,404,404,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=17716,390,393,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=17078,417,420,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16523,385,388,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16530,445,445,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16542,355,353,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=15704,400,402,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=15742,367,370,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16909,404,406,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16005,377,379,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16309,391,391,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=42494,411,408,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=41101,436,433,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=39800,440,441,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=38236,439,440,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=36550,0,0,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=36076,439,442,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=34866,426,428,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=34212,0,0,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=31929,423,425,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=27830,433,431,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=23868,437,439,2
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=22570,397,396,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=22121,457,456,1
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=22017,408,411,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=19616,0,0,0
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=16901,383,380,3
Joshua Sokol,https://www.cross-tables.com/annotated.php?u=14764,458,459,1
Mack Meller,https://www.cross-tables.com/annotated.php?u=42590,415,417,2
Mack Meller,https://www.cross-tables.com/annotated.php?u=32020,416,413,3
