Player,game_url,player1_score,player2_score,final_score_difference
Orry Swift,https://www.cross-tables.com/annotated.php?u=19387,366,365,1
Orry Swift,https://www.cross-tables.com/annotated.php?u=18565,358,356,2
Orry Swift,https://www.cross-tables.com/annotated.php?u=7036,457,459,2
Orry Swift,https://www.cross-tables.com/annotated.php?u=4980,436,435,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=42800,389,390,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=42503,412,414,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=41925,394,393,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=41613,344,342,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=40727,435,438,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=38074,377,375,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=37948,447,448,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=36901,425,427,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=36909,465,462,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=36912,440,441,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=36923,418,418,0
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=35376,429,429,0
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=35107,426,428,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=33344,418,415,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=33112,426,429,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=31474,388,387,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=31277,416,415,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=29807,476,473,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=29394,380,380,0
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=28911,432,433,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=28540,425,423,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=27670,453,452,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=25436,409,411,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=24683,377,377,0
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=24304,369,367,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=24308,344,347,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=20588,393,395,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=20589,438,435,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=18982,375,372,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=19200,389,389,0
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=18357,407,408,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=14228,443,445,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=42494,411,408,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=38943,410,410,0
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=38643,376,373,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=38236,439,440,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=35990,503,500,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=34866,426,428,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=30746,433,434,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=30738,431,432,1
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=29042,382,380,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=27830,433,431,2
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=27471,390,387,3
Jackson Smylie,https://www.cross-tables.com/annotated.php?u=27079,486,483,3
Joey Krafchick,https://www.cross-tables.com/annotated.php?u=41236,404,403,1
