Player,game_url,Nigel_score,player2_score,Nigel_loss,Player 2
h,https://www.cross-tables.com/annotated.php?u=29278,359,556,197,Will Anderson
h,https://www.cross-tables.com/annotated.php?u=29280,393,419,26,Will Anderson
h,https://www.cross-tables.com/annotated.php?u=29281,421,460,39,Will Anderson
h,https://www.cross-tables.com/annotated.php?u=29132,418,445,27,Joey Mallick
h,https://www.cross-tables.com/annotated.php?u=26659,374,392,18,Josh Sokol
h,https://www.cross-tables.com/annotated.php?u=26531,363,407,44,Will Anderson
h,https://www.cross-tables.com/annotated.php?u=26839,409,491,82,Mack Meller
h,https://www.cross-tables.com/annotated.php?u=26116,404,486,82,Quinn James
h,https://www.cross-tables.com/annotated.php?u=22425,415,440,25,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=22358,378,484,106,Wellington Jighere
h,https://www.cross-tables.com/annotated.php?u=19832,413,475,62,Paul Allan
h,https://www.cross-tables.com/annotated.php?u=19921,418,474,56,Jesse Matthews
h,https://www.cross-tables.com/annotated.php?u=19874,389,445,56,Jesse Day
h,https://www.cross-tables.com/annotated.php?u=20097,379,408,29,Noah Walton
h,https://www.cross-tables.com/annotated.php?u=19206,314,348,34,Thomas Reinke
h,https://www.cross-tables.com/annotated.php?u=18583,343,580,237,Will Anderson
h,https://www.cross-tables.com/annotated.php?u=21322,436,446,10,Jim Kramer
h,https://www.cross-tables.com/annotated.php?u=18411,386,421,35,Josh Sokol
h,https://www.cross-tables.com/annotated.php?u=16373,471,514,43,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=16586,445,495,50,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=16589,433,471,38,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=16191,331,471,140,Noah Walton
h,https://www.cross-tables.com/annotated.php?u=16336,334,469,135,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=17180,421,442,21,Komol Panyasophonlert
h,https://www.cross-tables.com/annotated.php?u=12038,361,415,54,Conrad Bassett-Bouchard
h,https://www.cross-tables.com/annotated.php?u=36230,362,466,104,David Gibson
h,https://www.cross-tables.com/annotated.php?u=11880,374,458,84,Winter
h,https://www.cross-tables.com/annotated.php?u=9639,431,437,6,Weibin Toh
h,https://www.cross-tables.com/annotated.php?u=17146,406,520,114,Andrew Fisher
h,https://www.cross-tables.com/annotated.php?u=17148,420,562,142,Andrew Fisher
